"ID","VLINDER","lat","lon","water20","verhard20","groen20","water50","verhard50","groen50","water100","verhard100","groen100","water250","verhard250","groen250","water500","verhard500","groen500","stad","benaming","school","sponsor"
"jvy7zdAPZ5ymI2hydh6tvnmm","vlinder01","50.980438","3.815763","0.000000","0.085851","0.914149","0.000000","0.055994","0.944006","0.000000","0.051409","0.948591","0.000000","0.068036","0.931964","0.000924","0.102948","0.896127","Melle","Proefhoeve","UGent","Universiteit Gent"
"zZ6ZeSg11dJ5zp5GrNwNck9A","vlinder02","51.022379","3.709695","0.000000","0.000000","1.000000","0.000000","0.314562","0.685438","0.000000","0.506367","0.493633","0.000000","0.463547","0.536453","0.048093","0.426543","0.525364","Gent","Sterre","UGent","Universiteit Gent"
"VDwYVFKNaGF0YpQtM4xe3Ic5","vlinder03","51.324583","4.952109","0.000000","0.386635","0.613365","0.000000","0.691240","0.308760","0.000000","0.793852","0.206148","0.000000","0.820621","0.179379","0.006392","0.755716","0.237892","Turnhout","Centrum","Heilig Graf","Stad Turnhout"
"vqYF3lib7K3re0Zc38ZCzlom","vlinder04","51.335522","4.934732","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.000000","0.000000","1.000000","0.035652","0.122955","0.841393","0.043961","0.201841","0.754198","Turnhout","Stadsboerderij","Heilig Graf","Stad Turnhout"
"2kfOFUtZ5wZEEpM6xbL42aFM","vlinder05","51.052655","3.675183","1.000000","0.000000","0.000000","0.773296","0.087184","0.139520","0.375677","0.334682","0.289641","0.227974","0.257391","0.514635","0.124820","0.157484","0.717696","Gent","Watersportbaan","Sint-Barbara","UGent Volkssterrenwacht Armand Pien"
"0xwg6AsDvbnxXzB4S3c2BRyJ","vlinder06","51.027100","4.516300","0.000000","0.000000","1.000000","0.011336","0.000000","0.988664","0.005252","0.000637","0.994111","0.006585","0.008719","0.984695","0.044506","0.023070","0.932424","Bonheiden","Mechels Broek","BimSem","Stad Mechelen"
"3hG2KPxxvlPVDjDIlEkbS7A5","vlinder07","51.030889","4.478445","0.000000","0.032643","0.967357","0.000000","0.188033","0.811967","0.000000","0.392412","0.607588","0.016455","0.576965","0.406579","0.016347","0.523568","0.460085","Mechelen","Noord","PTS","Stad Mechelen"
"h2Nl284RotYblunrLM8m6KtO","vlinder08","51.028130","4.477398","0.000000","0.681672","0.318328","0.000000","0.859331","0.140669","0.000000","0.885444","0.114556","0.043083","0.850455","0.106462","0.029801","0.824178","0.146021","Mechelen","De Lindepoort","TSM","Stad Mechelen"
"hA49FTkzXFZBSPq1cu6l4J5b","vlinder09","50.927167","4.075722","0.000000","0.000000","1.000000","0.000000","0.052638","0.947362","0.000000","0.014326","0.985674","0.000020","0.075014","0.924966","0.002675","0.237226","0.760098","Aalst","Heuvelpark","SMI","SOLVA"
"11eLa6DbyiHBWFT1FxHzTMII","vlinder10","50.935556","4.041389","0.000000","0.863708","0.136292","0.000000","0.909369","0.090631","0.000000","0.894769","0.105231","0.000000","0.860822","0.139178","0.013965","0.833688","0.152348","Aalst","Centrum","SMI","SOLVA"
